Song Name,Song Link,Language,comments
Thai Kelavi,https://youtu.be/7CajfS_iVQM?si=kEPZ_SpN5tRMoiA9,Tamil,
Manmadha Raja,https://youtu.be/e0TB6BYb-Co?si=TZbeoS6v_m_FJO5z,Telugu,
Kabali,https://youtu.be/bwXHx8ng7_E?si=fbD7qPfKrIz3wI94,,
Vikram,https://youtu.be/OsLCY3vz3t8?si=A08CJwkXrXTFJlMM,,
Hukum,https://youtu.be/1F3hm6MfR1k?si=xjQTtdzU8UQxWiw7,,
cham cham karta,https://www.youtube.com/watch?v=zXxE4X8opIE&ab_channel=SAGARIKAINDIE,Hindi,
london thumka,https://www.youtube.com/watch?v=nC_n3n33yK8&ab_channel=NurishWidya26,Hindi,
Laila mai laila,https://www.youtube.com/watch?v=RmkRKnvcLGM&ab_channel=ZeeMusicCompany,Hindi,
chittiyan kailali,https://www.youtube.com/watch?v=zpsVpnvFfZQ&ab_channel=T-Series,Hindi,
subha hone na de,https://www.youtube.com/watch?v=_wMsvhz8YSk&ab_channel=MikaSingh-Topic,Hindi,
mauja hi mauja,https://www.youtube.com/watch?v=aPHsp9X2mBE&ab_channel=T-Series,Hindi,
param sundari,https://www.youtube.com/watch?v=nfNc0XJdZWk&ab_channel=SonyMusicIndiaVEVO,Hindi,
jhyumme ki raat,https://www.youtube.com/watch?v=dv_Qjzca56k&ab_channel=T-Series,Hindi,
yaar na miley,https://www.youtube.com/watch?v=KEB5SMkmS_g&ab_channel=T-Series,Hindi,
bom diggy,https://www.youtube.com/watch?v=2p6fmSXhJcQ&ab_channel=SoloStar,Hindi,
Taki Taki,https://www.youtube.com/watch?v=ixkoVwKQaJg&ab_channel=DJSnakeVEVO,English,
Manali trance,https://www.youtube.com/watch?v=3KflBbrUWCs&ab_channel=ZeeMusicCompany,Hindi,
Hungama Hogya,https://www.youtube.com/watch?v=4gtc5P5KZxA&ab_channel=Viacom18Studios,Hindi,
dhol baje,https://www.youtube.com/watch?v=G0duAB7X0ns&ab_channel=StudioHD,Hindi,
